trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
9900288863,Walk Up,230,2015-10-01 18:12:08 UTC,3291,11th & San Jacinto,2561,State Capitol Visitors Garage @ San Jacinto & 12th,35
9900288951,Local365,561,2015-10-01 23:12:03 UTC,3291,11th & San Jacinto,3291,11th & San Jacinto,19
9900288985,Local30,224,2015-10-01 19:12:19 UTC,2568,East 11th St. at Victory Grill,2576,Rainey @ River St,27
9900288998,Local365,140,2015-10-01 12:12:58 UTC,1008,Nueces @ 3rd,1008,Nueces @ 3rd,10
9900289083,Local365,938,2015-10-01 18:12:16 UTC,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,5
9900289091,Local30,221,2015-10-01 20:12:58 UTC,3291,11th & San Jacinto,2568,East 11th St. at Victory Grill,7
9900289108,Local30,969,2015-10-01 13:12:09 UTC,1008,Nueces @ 3rd,1008,Nueces @ 3rd,16
9900289112,Local30,969,2015-10-01 16:12:01 UTC,1008,Nueces @ 3rd,1008,Nueces @ 3rd,19
9900289126,Local365,546,2015-10-01 20:12:17 UTC,1008,Nueces @ 3rd,1007,Lavaca & 6th,0
9900289130,Local365,132,2015-10-01 08:12:57 UTC,2536,Waller & 6th St.,1007,Lavaca & 6th,0
9900289157,Annual,800,2015-10-01 18:12:32 UTC,2823,Capital Metro HQ - East 5th at Broadway,2823,Capital Metro HQ - East 5th at Broadway,13
9900289236,Weekender,200,2015-10-02 16:12:52 UTC,3293,East 2nd & Pedernales,3293,East 2nd & Pedernales,32
9900289247,Walk Up,202,2015-10-02 12:12:30 UTC,2568,East 11th St. at Victory Grill,2568,East 11th St. at Victory Grill,0
9900289262,Walk Up,966,2015-10-02 13:12:00 UTC,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,14
9900289307,Walk Up,398,2015-10-02 15:12:31 UTC,2546,ACC - West & 12th Street,1006,Zilker Park West,19
9900289320,Walk Up,140,2015-10-02 16:12:32 UTC,1008,Nueces @ 3rd,1008,Nueces @ 3rd,1
9900289332,Walk Up,266,2015-10-02 21:12:57 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900289349,Walk Up,236,2015-10-02 20:12:58 UTC,1006,Zilker Park West,2546,ACC - West & 12th Street,30
9900289372,Walk Up,885,2015-10-02 21:12:16 UTC,1006,Zilker Park West,2536,Waller & 6th St.,44
9900289380,Walk Up,829,2015-10-02 21:12:49 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,23
9900289457,Weekender,712,2015-10-02 16:12:07 UTC,3293,East 2nd & Pedernales,3293,East 2nd & Pedernales,31
9900289493,Walk Up,407,2015-10-02 21:12:45 UTC,1006,Zilker Park West,2536,Waller & 6th St.,42
9900289496,Walk Up,141,2015-10-02 21:12:02 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,25
9900289535,Walk Up,895,2015-10-02 10:12:18 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900289572,Walk Up,362,2015-10-02 20:12:09 UTC,1006,Zilker Park West,2546,ACC - West & 12th Street,30
9900289573,Walk Up,272,2015-10-02 20:12:52 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900289581,Walk Up,712,2015-10-02 21:12:41 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900289594,Walk Up,435,2015-10-02 21:12:04 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900289684,Walk Up,435,2015-10-02 21:12:43 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900289690,Walk Up,62,2015-10-02 21:12:31 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,25
9900289721,Weekender,902,2015-10-02 09:12:46 UTC,2712,Toomey Rd @ South Lamar,1006,Zilker Park West,6
9900289734,Walk Up,202,2015-10-02 12:12:15 UTC,2568,East 11th St. at Victory Grill,2568,East 11th St. at Victory Grill,0
9900289861,Walk Up,956,2015-10-02 21:12:29 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,22
9900289883,Walk Up,406,2015-10-02 23:12:34 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,13
9900289965,Walk Up,774,2015-10-02 20:12:35 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900289969,Walk Up,664,2015-10-02 20:12:36 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900289972,Walk Up,961,2015-10-02 21:12:04 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900289983,Walk Up,435,2015-10-02 21:12:22 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900290012,Walk Up,555,2015-10-02 23:12:49 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,14
9900290020,Walk Up,78,2015-10-02 16:12:42 UTC,1006,Zilker Park West,1006,Zilker Park West,56
9900290115,Walk Up,15,2015-10-02 13:12:04 UTC,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,15
9900290119,Walk Up,95,2015-10-02 14:12:07 UTC,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,453
9900290124,Walk Up,327,2015-10-02 15:12:48 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900290132,Local365,746,2015-10-02 21:12:08 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,24
9900290190,Local365,555,2015-10-02 22:12:14 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900290215,Local365,417,2015-10-02 12:12:10 UTC,1008,Nueces @ 3rd,1007,Lavaca & 6th,0
9900290218,Local365,224,2015-10-02 09:12:18 UTC,2576,Rainey @ River St,2536,Waller & 6th St.,8
9900290229,Local365,958,2015-10-02 11:12:21 UTC,2576,Rainey @ River St,1006,Zilker Park West,32
